Sample identifier,Sample Name,formation,minerology,composite height,d13C ,d18O,Through Rad Sr Columns,Through Stable Sr Columns,rsWheel Number,rsDate,rsSample mass for analysis (600 ng Sr),87/86Sr,rsInternal Precision,rsRep 1 Wheel #,rsRep 1 date,rsRep1 87/86Sr,rsRep 1 internal precision,rsRep 2 Wheel #,rsRep 2 date,rsRep 2 88/86,rsRep 2 internal precision,,,,ssSample mass for analysis,ssSpike mass for analysis,,Wheel #,Date run on TIMS,88/86Sr,Internal Precision,,Rep 1 Wheel #,ssRep 1 date,ssRep 1 ,ssRep 1 internal precision,,CaSample mass for analysis (g) ,Ca spike mass (g),thru columns w Tia,Wheel #,Date run on TIMS,44/40Ca,Internal Precision,,Rep 1 Wheel #,CaRep 1 date,CaRep 1 ,CaRep 1 internal precision,Sr ppm,Ca ppm,Mg ppm,Mn ppm,SrCa (ppm/ppm),Mn/Sr (ppm/ppm),d44 higgins,Primary minerology,Sr/Ca (mmol/mol),Mg/Ca (mmol/mol),Mn/Ca (μmol/mol),Mn/Sr (mmol/mmol),Mountain composite height
MDE 101.6,SO29,Khufai,Dolomite,148.9,3.08,-3.58,,,W1031,2/21,0.75689,0.708564,0.000010,,,,,,,,,,,,0.76797,0.61984,,W1026,2/8/22,0.175,0.0085683,,,,,,,0.04932,0.59368,,W1039,3/8/22,-0.851266,0.021787,,,,,,179.471,1914.73,848.14,0.294,0.094,0.0016,,Dolomite,,,,,
MDE 83.8,SO30,Khufai,Dolomite,131.1,4.52,-2.86,,,W1031,2/21,2.22753,0.708403,0.000010,,,,,,,,,,,,2.08271,0.59791,,W1026,2/8/22,0.339,0.00767,,W1026,2/8/22,0.3473475,0.0074318,,0.06454,0.61319,,W1003_05_06_07,11/24/21,-0.760402,0.024486,,,,,,82.196,1083.26,844.48,0.395,0.076,0.0048,,Dolomite,,,,,
MDE 14,SO31A,Khufai,Calcite,61.3,3.9,-6.39,,,W1031,2/21,1.96789,0.708688,0.000010,,,,,,,,,,,,1.91353,0.61934,,W1026,2/8/22,0.311,0.0082074,,,,,,,0.04423,0.60776,,W1008,11/30/21,-1.0317,0.0212,,W1003_05_06_07,11/24/21,-1.034835,0.023644,67.200,2168.81,852.97,0.504,0.031,0.0075,,Primary Calcite,,,,,
MDE 14,SO31B,Khufai,Calcite,61.3,3.9,-6.39,,,W1031,2/21,4.07033,0.708859,0.000010,,,,,,,,,,,,3.97591,0.62877,,W1043,3/18/22,0.483,0.006663,,,,,,,0.04928,0.59738,,W1003_05_06_07,11/24/21,-1.026809,0.019669,,,,,,30.169,1899.64,1074.20,4.317,0.016,0.1431,,Primary Calcite,,,,,
S100401-01,,Dengying,limestone,,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,,,,,,,
S100502-01,,Dengying,limestone,,4.31,,,,,,,0.708456,,,,,,,,,,,,,,,,,,0.370,,,,,,,,,,,,,,,,,,,,,,,,,0.049,,,,,,,
S100511-01,,Dengying,limestone,,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,
S100511-02,,Dengying,limestone,,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,
S100801-01,,Dengying,limestone,,3.84,,,,,,,0.708403,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,
S100801-02,,Dengying,limestone,,4.11,,,,,,,0.708415,,,,,,,,,,,,,,,,,,0.540,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,
S101005-01,,Dengying,limestone,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,
S101005-02,,Dengying,limestone,,4.56,,,,,,,0.708371,,,,,,,,,,,,,,,,,,0.180,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,
S101207-02,,Dengying,limestone,,4.90,,,,,,,0.70839,,,,,,,,,,,,,,,,,,0.270,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,
S101207-01,,Dengying,limestone,,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,
S101301-01,,Dengying,limestone,,5.10,,,,,,,0.708481,,,,,,,,,,,,,,,,,,0.660,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,
S101502-01,,Dengying,limestone,,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,
S101608-01,,Dengying,limestone,,5.31,,,,,,,0.708421,,,,,,,,,,,,,,,,,,0.440,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,
S101608-02,,Dengying,limestone,,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,
S101802-01,,Dengying,limestone,,5.13,,,,,,,0.708518,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,0.019,,,,,,,
S101901A2-1,,Dengying,limestone,,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,
S101901A2-2,,Dengying,limestone,,7.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,,,,,,,
S102403-03,,Dengying,dolostone,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611,,,,,,,
S102403-02,,Dengying,dolostone,,1.70,,,,,,,0.708847,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,1.115,,,,,,,
S102403-05,,Dengying,dolostone,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386,,,,,,,
S102403-06,,Dengying,dolostone,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.921,,,,,,,
S102403-04,,Dengying,dolostone,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.601,,,,,,,
S102403-01,,Dengying,dolostone,,2.53,,,,,,,0.710266,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,1.309,,,,,,,
S102804-01,,Dengying,dolostone,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.302,,,,,,,
S102903-01,,Dengying,dolostone,,2.82,,,,,,,0.708545,,,,,,,,,,,,,,,,,,0.210,,,,,,,,,,,,,,,,,,,,,,,,,0.665,,,,,,,
S103204-01,,Dengying,dolostone,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.363,,,,,,,
S103306-01,,Dengying,dolostone,,1.21,,,,,,,0.708495,,,,,,,,,,,,,,,,,,0.210,,,,,,,,,,,,,,,,,,,,,,,,,0.512,,,,,,,
S103704-01,,Dengying,dolostone,,1.64,,,,,,,0.708566,,,,,,,,,,,,,,,,,,0.150,,,,,,,,,,,,,,,,,,,,,,,,,0.631,,,,,,,
S103704-02,,Dengying,dolostone,,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.414,,,,,,,
S103704-03,,Dengying,dolostone,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.373,,,,,,,
S103903-01,,Dengying,dolostone,,-0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.295,,,,,,,
S104001-01,,Dengying,dolostone,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.885,,,,,,,
S104002-02,,Dengying,dolostone,,-0.84,,,,,,,0.710302,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,6.664,,,,,,,
S104002-01,,Dengying,dolostone,,-0.66,,,,,,,0.709589,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,7.556,,,,,,,
S104203-01,,Doushantuo,limestone,,-5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.820,,,,,,,
S104401-01,,Doushantuo,dolostone,,-4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.572,,,,,,,
S104504-02,,Doushantuo,limestone,,-7.27,,,,,,,0.709815,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,1.101,,,,,,,
S104504-01,,Doushantuo,dolostone,,-3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.396,,,,,,,
S104805-01,,Doushantuo,limestone,,-7.68,,,,,,,0.708993,,,,,,,,,,,,,,,,,,0.330,,,,,,,,,,,,,,,,,,,,,,,,,0.255,,,,,,,
S105102-01,,Doushantuo,limestone,,-6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.079,,,,,,,
S105102-02,,Doushantuo,limestone,,-7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,,,,,,,
S105113-01,,Doushantuo,limestone,,-7.93,,,,,,,0.708919,,,,,,,,,,,,,,,,,,0.140,,,,,,,,,,,,,,,,,,,,,,,,,0.217,,,,,,,
S105113-02,,Doushantuo,limestone,,-6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.913,,,,,,,
S105202B-01,,Doushantuo,limestone,,-8.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206,,,,,,,
S105303-01,,Doushantuo,limestone,,-7.57,,,,,,,0.709054,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,0.281,,,,,,,
S105416-01,,Doushantuo,limestone,,-8.11,,,,,,,0.709035,,,,,,,,,,,,,,,,,,0.160,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,,,,,,
S105416-02,,Doushantuo,limestone,,-6.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429,,,,,,,
S105601A-01,,Doushantuo,limestone,,-7.99,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,0.260,,,,,,,
S105801-01,,Doushantuo,limestone,,-8.07,,,,,,,0.70906,,,,,,,,,,,,,,,,,,0.610,,,,,,,,,,,,,,,,,,,,,,,,,0.221,,,,,,,
S105801-02,,Doushantuo,limestone,,-8.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244,,,,,,,
S105809-01,,Doushantuo,limestone,,-8.90,,,,,,,0.708906,,,,,,,,,,,,,,,,,,0.270,,,,,,,,,,,,,,,,,,,,,,,,,0.135,,,,,,,
S105905-01,,Doushantuo,limestone,,-8.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188,,,,,,,
